matchNo,Date,Time,Team1,Team2,Score1,Score2
155,16.12.2023,21:00,Al-Ettifaq,Al-Taawon,0,2
156,16.12.2023,18:00,Al Riyadh,Al Khaleej,0,1
157,15.12.2023,18:00,Al-Raed,Damk,0,1
158,15.12.2023,18:00,Al-Hilal,Al Wehda,2,0
159,15.12.2023,18:00,Al-Fateh,Al-Shabab,1,1
160,14.12.2023,21:00,Al Feiha,Al Ahli SC,0,4
161,14.12.2023,18:00,Abha,Al-Hazem,1,1
162,14.12.2023,18:00,Al-Okhdood,Al Taee,1,0
163,09.12.2023,21:00,Al Wehda,Al-Okhdood,2,0
164,09.12.2023,18:00,Al Ahli SC,Al-Raed,0,0
165,08.12.2023,21:00,Al-Nassr,Al Riyadh,4,1
166,08.12.2023,18:00,Al Khaleej,Abha,3,1
167,08.12.2023,18:00,Al Taee,Al-Hilal,1,2
168,08.12.2023,18:00,Al-Taawon,Al Feiha,4,1
169,07.12.2023,21:00,Al-Shabab,Al-Ettifaq,0,0
170,07.12.2023,18:00,Al-Hazem,Al-Fateh,2,0
171,07.12.2023,18:00,Damk,Al-Ittihad FC,3,1
172,02.12.2023,21:00,Al-Raed,Al Wehda,2,0
173,02.12.2023,21:00,Al-Shabab,Al-Taawon,1,2
174,02.12.2023,18:00,Al-Fateh,Al Taee,0,1
175,02.12.2023,18:00,Al-Okhdood,Al-Ettifaq,1,0
176,01.12.2023,21:00,Al-Hilal,Al-Nassr,3,0
177,01.12.2023,18:00,Al Feiha,Damk,2,4
178,30.11.2023,21:00,Al-Ittihad FC,Al Khaleej,4,2
179,30.11.2023,18:00,Abha,Al Ahli SC,0,6
180,30.11.2023,18:00,Al Riyadh,Al-Hazem,0,0
181,25.11.2023,21:00,Al-Fateh,Al Feiha,0,1
182,25.11.2023,21:00,Al Ahli SC,Al-Shabab,0,0
183,25.11.2023,21:00,Al Wehda,Al Khaleej,3,1
184,25.11.2023,21:00,Damk,Abha,4,2
185,25.11.2023,18:00,Al-Hazem,Al-Hilal,0,9
186,24.11.2023,21:00,Al-Nassr,Al-Okhdood,3,0
187,24.11.2023,21:00,Al Taee,Al-Raed,4,3
188,24.11.2023,18:00,Al-Taawon,Al Riyadh,1,2
189,24.11.2023,18:00,Al-Ettifaq,Al-Ittihad FC,1,1
190,11.11.2023,21:00,Al Wehda,Al-Nassr,1,3
191,11.11.2023,18:00,Al Feiha,Al-Ettifaq,0,0
192,11.11.2023,18:00,Al-Okhdood,Al-Hazem,2,1
193,10.11.2023,21:00,Al-Ittihad FC,Abha,4,2
194,10.11.2023,18:00,Al-Hilal,Al-Taawon,2,0
195,09.11.2023,21:00,Al Riyadh,Al-Fateh,1,1
196,09.11.2023,21:00,Damk,Al Ahli SC,2,2
197,09.11.2023,18:00,Al Khaleej,Al Taee,3,1
198,09.11.2023,18:00,Al-Raed,Al-Shabab,2,1
199,05.11.2023,21:00,Al Ahli SC,Al Riyadh,3,0
200,05.11.2023,18:00,Al-Hazem,Al Wehda,1,2
201,05.11.2023,18:00,Al-Taawon,Damk,0,0
202,04.11.2023,21:00,Al-Ettifaq,Al-Raed,0,0
203,04.11.2023,21:00,Al-Nassr,Al Khaleej,2,0
204,04.11.2023,18:00,Abha,Al-Okhdood,3,2
205,03.11.2023,21:00,Al-Shabab,Al-Ittihad FC,1,0
206,03.11.2023,18:00,Al-Fateh,Al-Hilal,0,2
207,03.11.2023,18:00,Al Taee,Al Feiha,3,3
208,28.10.2023,21:00,Al Wehda,Al-Ettifaq,2,3
209,28.10.2023,18:00,Al Feiha,Al-Nassr,1,3
210,28.10.2023,18:00,Abha,Al-Shabab,2,1
211,27.10.2023,21:00,Al-Hilal,Al Ahli SC,3,1
212,27.10.2023,18:00,Al Taee,Al Riyadh,3,2
213,27.10.2023,18:00,Al-Raed,Al-Fateh,1,2
214,26.10.2023,21:00,Al-Ittihad FC,Al-Hazem,2,2
