"matchNo","Date","Time","Team1","Team2","Score1","Score2","Season"
32,"03.11.2006","19:40","Al-Ittihad FC","Al Khaleej",2,0,"2006-2007"
33,"04.11.2006","19:40","Al-Shabab","Al-Hazem",2,1,"2006-2007"
34,"04.11.2006","19:40","Al-Faisaly","Al-Hilal",0,1,"2006-2007"
35,"04.11.2006","19:40","Al-Ettifaq","Al Wehda",0,1,"2006-2007"
36,"09.11.2006","15:30","Al-Hilal","Al Taee",3,2,"2006-2007"
37,"09.11.2006","19:36","Al Khaleej","Al-Faisaly",1,0,"2006-2007"
38,"09.11.2006","19:37","Al-Hazem","Al-Ettifaq",0,1,"2006-2007"
39,"09.11.2006","19:37","Al Ahli SC","Al Qadisiya",1,0,"2006-2007"
40,"10.11.2006","19:40","Al-Shabab","Al-Nassr",2,0,"2006-2007"
41,"10.11.2006","19:40","Al Wehda","Al-Ittihad FC",2,2,"2006-2007"
42,"16.11.2006","19:40","Al-Faisaly","Al-Nassr",2,2,"2006-2007"
43,"22.11.2006","19:40","Al-Faisaly","Al Wehda",1,2,"2006-2007"
44,"22.11.2006","19:40","Al Taee","Al Khaleej",0,1,"2006-2007"
45,"23.11.2006","19:40","Al Qadisiya","Al-Hilal",0,1,"2006-2007"
46,"24.11.2006","19:40","Al-Ittihad FC","Al-Hazem",2,0,"2006-2007"
47,"25.11.2006","19:40","Al-Ettifaq","Al-Shabab",3,3,"2006-2007"
48,"30.11.2006","19:40","Al-Hazem","Al-Faisaly",0,1,"2006-2007"
49,"30.11.2006","19:40","Al Wehda","Al Taee",1,0,"2006-2007"
50,"01.12.2006","19:40","Al Khaleej","Al Qadisiya",1,2,"2006-2007"
51,"02.12.2006","19:40","Al-Shabab","Al Ahli SC",0,2,"2006-2007"
52,"03.12.2006","19:40","Al-Ittihad FC","Al-Ettifaq",1,1,"2006-2007"
53,"03.12.2006","19:40","Al-Hilal","Al-Nassr",2,1,"2006-2007"
54,"07.12.2006","19:33","Al Taee","Al-Hazem",2,2,"2006-2007"
55,"07.12.2006","19:40","Al Qadisiya","Al Wehda",1,3,"2006-2007"
56,"07.12.2006","19:40","Al Ahli SC","Al-Hilal",2,3,"2006-2007"
57,"08.12.2006","19:40","Al-Shabab","Al-Ittihad FC",3,1,"2006-2007"
58,"08.12.2006","19:40","Al-Faisaly","Al-Ettifaq",0,3,"2006-2007"
59,"08.12.2006","19:40","Al Khaleej","Al-Nassr",1,1,"2006-2007"
60,"14.12.2006","17:50","Al Ahli SC","Al Khaleej",1,1,"2006-2007"
61,"14.12.2006","19:40","Al-Hilal","Al-Shabab",4,0,"2006-2007"
62,"14.12.2006","19:40","Al-Hazem","Al Qadisiya",2,3,"2006-2007"
63,"14.12.2006","19:40","Al-Ettifaq","Al Taee",2,2,"2006-2007"
64,"15.12.2006","19:40","Al-Faisaly","Al-Ittihad FC",1,5,"2006-2007"
65,"16.12.2006","19:40","Al-Nassr","Al Wehda",2,3,"2006-2007"
66,"19.12.2006","19:40","Al-Ettifaq","Al Qadisiya",0,0,"2006-2007"
67,"20.12.2006","15:30","Al Taee","Al-Ittihad FC",0,1,"2006-2007"
68,"20.12.2006","19:30","Al-Faisaly","Al-Shabab",1,0,"2006-2007"
69,"20.12.2006","19:40","Al Khaleej","Al-Hilal",0,0,"2006-2007"
70,"25.12.2006","19:40","Al-Hilal","Al Wehda",0,0,"2006-2007"
71,"25.12.2006","19:40","Al Ahli SC","Al-Hazem",3,2,"2006-2007"
72,"26.12.2006","19:35","Al-Shabab","Al Khaleej",3,1,"2006-2007"
73,"26.12.2006","19:35","Al Taee","Al-Faisaly",1,1,"2006-2007"
74,"26.12.2006","19:40","Al-Ittihad FC","Al-Nassr",3,0,"2006-2007"
75,"03.01.2007","19:40","Al-Shabab","Al Taee",1,1,"2006-2007"
76,"03.01.2007","19:40","Al Qadisiya","Al-Ittihad FC",1,0,"2006-2007"
77,"03.01.2007","19:40","Al Khaleej","Al Wehda",0,2,"2006-2007"
78,"03.01.2007","19:48","Al-Hazem","Al-Hilal",2,0,"2006-2007"
79,"04.02.2007","19:40","Al-Hazem","Al-Nassr",2,1,"2006-2007"
80,"04.02.2007","19:40","Al Wehda","Al Ahli SC",1,0,"2006-2007"
81,"07.02.2007","19:40","Al-Hilal","Al-Ettifaq",2,1,"2006-2007"
82,"07.02.2007","19:40","Al Qadisiya","Al Taee",0,2,"2006-2007"
83,"08.02.2007","20:00","Al-Nassr","Al-Faisaly",1,1,"2006-2007"
84,"10.02.2007","20:10","Al Wehda","Al-Shabab",1,0,"2006-2007"
85,"10.02.2007","20:10","Al Khaleej","Al-Hazem",1,0,"2006-2007"
86,"15.02.2007","20:10","Al-Hazem","Al Wehda",2,2,"2006-2007"
87,"15.02.2007","20:15","Al-Ettifaq","Al Khaleej",2,0,"2006-2007"
88,"15.02.2007","20:20","Al-Shabab","Al Qadisiya",3,0,"2006-2007"
89,"16.02.2007","20:10","Al-Ittihad FC","Al-Hilal",1,2,"2006-2007"
90,"17.02.2007","16:00","Al Taee","Al-Nassr",0,2,"2006-2007"
91,"17.02.2007","20:10","Al-Faisaly","Al Ahli SC",1,1,"2006-2007"
92,"08.03.2007","20:25","Al Wehda","Al-Ettifaq",2,1,"2006-2007"
93,"08.03.2007","20:25","Al Khaleej","Al-Ittihad FC",2,8,"2006-2007"
94,"09.03.2007","20:25","Al Qadisiya","Al-Nassr",1,2,"2006-2007"
95,"09.03.2007","20:25","Al Ahli SC","Al Taee",3,2,"2006-2007"
96,"11.03.2007","20:10","Al-Hilal","Al-Faisaly",2,0,"2006-2007"
97,"12.03.2007","20:10","Al-Hazem","Al-Shabab",1,3,"2006-2007"
98,"15.03.2007","20:10","Al Qadisiya","Al Ahli SC",0,1,"2006-2007"
99,"16.03.2007","20:10","Al-Ittihad FC","Al Wehda",1,0,"2006-2007"
100,"16.03.2007","20:10","Al-Faisaly","Al Khaleej",1,4,"2006-2007"
101,"17.03.2007","20:10","Al-Nassr","Al-Shabab",0,3,"2006-2007"
102,"17.03.2007","20:10","Al-Ettifaq","Al-Hazem",0,3,"2006-2007"
103,"22.03.2007","20:10","Al-Nassr","Al-Ettifaq",3,3,"2006-2007"
104,"22.03.2007","20:10","Al-Ittihad FC","Al Ahli SC",3,0,"2006-2007"
105,"22.03.2007","20:10","Al-Faisaly","Al Qadisiya",0,2,"2006-2007"
106,"26.03.2007","20:00","Al Khaleej","Al Taee",1,2,"2006-2007"
107,"26.03.2007","20:10","Al-Shabab","Al-Ettifaq",2,0,"2006-2007"
108,"26.03.2007","20:10","Al-Hilal","Al Qadisiya",3,0,"2006-2007"
109,"27.03.2007","20:20","Al-Hazem","Al-Ittihad FC",1,2,"2006-2007"
110,"27.03.2007","20:20","Al Wehda","Al-Faisaly",1,1,"2006-2007"
111,"27.03.2007","20:30","Al Ahli SC","Al-Nassr",1,1,"2006-2007"
112,"31.03.2007","16:00","Al Taee","Al-Hilal",0,2,"2006-2007"
113,"11.04.2007","20:20","Al-Ettifaq","Al Ahli SC",2,2,"2006-2007"
114,"12.04.2007","20:20","Al Taee","Al Wehda",1,4,"2006-2007"
115,"12.04.2007","20:20","Al Qadisiya","Al Khaleej",1,1,"2006-2007"
116,"13.04.2007","20:20","Al-Faisaly","Al-Hazem",4,2,"2006-2007"
117,"15.04.2007","20:20","Al-Nassr","Al-Hilal",0,1,"2006-2007"
118,"15.04.2007","20:20","Al-Ettifaq","Al-Ittihad FC",2,3,"2006-2007"
119,"15.04.2007","20:20","Al Ahli SC","Al-Shabab",1,5,"2006-2007"
120,"26.04.2007","20:35","Al-Hazem","Al Taee",2,1,"2006-2007"
121,"26.04.2007","20:35","Al-Ettifaq","Al-Faisaly",4,2,"2006-2007"
122,"26.04.2007","20:35","Al Wehda","Al Qadisiya",2,2,"2006-2007"
123,"26.04.2007","20:42","Al-Nassr","Al Khaleej",0,0,"2006-2007"
124,"30.04.2007","20:35","Al-Ittihad FC","Al-Shabab",2,1,"2006-2007"
125,"30.04.2007","20:35","Al-Hilal","Al Ahli SC",3,0,"2006-2007"
126,"04.05.2007","20:45","Al-Shabab","Al-Hilal",3,1,"2006-2007"
127,"04.05.2007","20:45","Al Ahli SC","Al-Ittihad FC",1,1,"2006-2007"
128,"10.05.2007","20:45","Al-Ittihad FC","Al-Faisaly",5,2,"2006-2007"
129,"10.05.2007","20:45","Al Wehda","Al-Nassr",2,0,"2006-2007"
130,"10.05.2007","20:45","Al Taee","Al-Ettifaq",1,0,"2006-2007"
131,"10.05.2007","20:45","Al Qadisiya","Al-Hazem",0,0,"2006-2007"
132,"10.05.2007","20:45","Al Khaleej","Al Ahli SC",1,1,"2006-2007"
133,"18.05.2007","19:00","Al Wehda","Al-Shabab",2,1,"2006-2007"
134,"24.05.2007","19:00","Al-Ittihad FC","Al Wehda",3,2,"2006-2007"
135,"01.06.2007","19:00","Al-Hilal","Al-Ittihad FC",1,2,"2006-2007"
1,"23.08.2007","20:40","Al-Ittihad FC","Najran",2,0,"2007-2008"
2,"23.08.2007","20:40","Al-Hilal","Al Watani",5,0,"2007-2008"
3,"23.08.2007","20:40","Al Qadisiya","Al Wehda",0,4,"2007-2008"
4,"24.08.2007","20:40","Al-Hazem","Al Ahli SC",1,0,"2007-2008"
5,"24.08.2007","20:42","Al-Shabab","Al-Nassr",1,1,"2007-2008"
6,"30.08.2007","20:40","Al Wehda","Al-Hazem",3,2,"2007-2008"
7,"30.08.2007","20:40","Al Watani","Al-Ittihad FC",0,0,"2007-2008"
8,"31.08.2007","20:15","Najran","Al Qadisiya",2,1,"2007-2008"
9,"31.08.2007","20:40","Al Taee","Al-Shabab",0,0,"2007-2008"
10,"13.09.2007","22:15","Al-Shabab","Al Ahli SC",1,3,"2007-2008"
11,"13.09.2007","22:15","Al-Ettifaq","Al Wehda",4,1,"2007-2008"
12,"14.09.2007","22:15","Al-Ittihad FC","Al Qadisiya",1,0,"2007-2008"
13,"14.09.2007","22:15","Al-Hazem","Najran",1,1,"2007-2008"
14,"14.09.2007","22:15","Al Watani","Al-Nassr",1,0,"2007-2008"
15,"20.09.2007","22:15","Najran","Al-Ettifaq",0,1,"2007-2008"
16,"20.09.2007","22:15","Al-Nassr","Al-Ittihad FC",1,5,"2007-2008"
17,"20.09.2007","22:15","Al Taee","Al Watani",2,2,"2007-2008"
18,"20.09.2007","22:15","Al Qadisiya","Al-Hazem",1,1,"2007-2008"
19,"22.09.2007","22:30","Al-Shabab","Al Wehda",2,1,"2007-2008"
20,"25.09.2007","22:00","Al-Nassr","Al Taee",1,1,"2007-2008"
21,"25.09.2007","22:00","Al-Hazem","Al-Ittihad FC",1,2,"2007-2008"
22,"25.09.2007","22:00","Al-Ettifaq","Al Qadisiya",5,1,"2007-2008"
23,"26.09.2007","22:15","Najran","Al-Shabab",1,2,"2007-2008"
24,"26.09.2007","22:15","Al Watani","Al Ahli SC",3,2,"2007-2008"
25,"29.09.2007","22:15","Al-Ittihad FC","Al Taee",5,2,"2007-2008"
26,"29.09.2007","22:15","Al-Hazem","Al-Ettifaq",1,2,"2007-2008"
27,"30.09.2007","22:15","Al-Hilal","Najran",1,2,"2007-2008"
28,"30.09.2007","22:15","Al Ahli SC","Al-Nassr",0,3,"2007-2008"
29,"18.10.2007","19:50","Al-Shabab","Al-Hazem",1,2,"2007-2008"
30,"18.10.2007","19:50","Al-Nassr","Al Wehda",1,0,"2007-2008"
31,"18.10.2007","19:50","Al-Ittihad FC","Al-Ettifaq",1,0,"2007-2008"
32,"18.10.2007","19:50","Al Qadisiya","Al-Hilal",2,4,"2007-2008"
33,"19.10.2007","19:50","Najran","Al Watani",0,1,"2007-2008"
34,"19.10.2007","19:50","Al Taee","Al Ahli SC",0,2,"2007-2008"
35,"25.10.2007","19:50","Al-Nassr","Najran",2,1,"2007-2008"
36,"25.10.2007","19:50","Al Watani","Al Qadisiya",2,1,"2007-2008"
37,"25.10.2007","19:50","Al Ahli SC","Al-Ittihad FC",0,2,"2007-2008"
38,"28.10.2007","19:50","Al-Hilal","Al-Hazem",2,0,"2007-2008"
39,"28.10.2007","19:50","Al-Ettifaq","Al-Shabab",0,0,"2007-2008"
40,"28.10.2007","19:50","Al Wehda","Al Taee",1,0,"2007-2008"
41,"05.11.2007","19:43","Al Qadisiya","Al-Shabab",2,5,"2007-2008"
42,"05.11.2007","19:45","Al-Ittihad FC","Al Watani",1,1,"2007-2008"
43,"06.11.2007","19:40","Al-Nassr","Al-Hilal",1,3,"2007-2008"
44,"06.11.2007","19:45","Al Ahli SC","Al-Ettifaq",2,2,"2007-2008"
45,"29.11.2007","19:30","Al Wehda","Najran",6,0,"2007-2008"
46,"29.11.2007","19:30","Al Watani","Al-Shabab",0,1,"2007-2008"
47,"29.11.2007","19:30","Al Ahli SC","Al Qadisiya",0,0,"2007-2008"
48,"30.11.2007","19:30","Al-Hazem","Al Taee",2,1,"2007-2008"
49,"01.12.2007","19:30","Al-Hilal","Al-Ittihad FC",0,0,"2007-2008"
50,"01.12.2007","19:30","Al-Ettifaq","Al-Nassr",1,4,"2007-2008"
51,"05.12.2007","19:34","Al-Nassr","Al-Shabab",2,2,"2007-2008"
52,"05.12.2007","19:34","Al Watani","Al-Hilal",0,1,"2007-2008"
53,"05.12.2007","19:34","Al Taee","Al-Ettifaq",0,0,"2007-2008"
54,"06.12.2007","19:30","Najran","Al-Ittihad FC",2,2,"2007-2008"
55,"06.12.2007","19:38","Al Wehda","Al Qadisiya",2,1,"2007-2008"
56,"06.12.2007","19:38","Al Ahli SC","Al-Hazem",1,1,"2007-2008"
57,"10.12.2007","19:33","Al-Hazem","Al Watani",1,0,"2007-2008"
58,"10.12.2007","19:33","Al Qadisiya","Al-Nassr",0,2,"2007-2008"
59,"10.12.2007","19:36","Al-Hilal","Al-Ettifaq",2,0,"2007-2008"
60,"10.12.2007","19:40","Al Ahli SC","Al Wehda",1,1,"2007-2008"
61,"11.12.2007","19:30","Al Taee","Najran",3,1,"2007-2008"
62,"11.12.2007","19:32","Al-Shabab","Al-Ittihad FC",3,2,"2007-2008"
63,"14.12.2007","19:40","Al-Hilal","Al-Nassr",1,1,"2007-2008"
64,"14.12.2007","19:40","Al-Hazem","Al Wehda",0,1,"2007-2008"
65,"14.12.2007","19:40","Al-Ettifaq","Al Ahli SC",1,2,"2007-2008"
66,"15.12.2007","19:30","Al-Shabab","Al Taee",2,0,"2007-2008"
67,"15.12.2007","19:30","Al Qadisiya","Najran",2,1,"2007-2008"
68,"27.12.2007","19:36","Najran","Al-Hazem",2,2,"2007-2008"
69,"27.12.2007","19:45","Al-Nassr","Al Watani",2,1,"2007-2008"
70,"28.12.2007","19:40","Al Taee","Al-Hilal",0,2,"2007-2008"
71,"28.12.2007","19:45","Al Ahli SC","Al-Shabab",1,3,"2007-2008"
72,"29.12.2007","19:45","Al Wehda","Al-Ittihad FC",0,1,"2007-2008"
73,"02.01.2008","19:45","Al Watani","Al Taee",1,0,"2007-2008"
74,"02.01.2008","19:46","Al-Hilal","Al Ahli SC",1,3,"2007-2008"
75,"03.01.2008","19:45","Al Wehda","Al-Shabab",0,2,"2007-2008"
76,"03.01.2008","19:47","Al-Ittihad FC","Al-Nassr",4,0,"2007-2008"
77,"04.01.2008","19:40","Al-Hazem","Al Qadisiya",2,0,"2007-2008"
78,"07.01.2008","19:45","Al Wehda","Al-Hilal",0,1,"2007-2008"
79,"07.01.2008","19:49","Al-Ettifaq","Al Taee",2,0,"2007-2008"
80,"07.01.2008","19:52","Al Ahli SC","Najran",4,0,"2007-2008"
81,"12.01.2008","19:35","Al Taee","Al-Nassr",1,3,"2007-2008"
82,"12.01.2008","19:50","Al-Ittihad FC","Al-Hazem",2,0,"2007-2008"
83,"12.01.2008","19:53","Al-Hilal","Al Wehda",3,1,"2007-2008"
84,"13.01.2008","19:55","Al-Shabab","Najran",2,2,"2007-2008"
85,"13.01.2008","19:55","Al Ahli SC","Al Watani",3,2,"2007-2008"
86,"13.01.2008","19:58","Al Qadisiya","Al-Ettifaq",0,2,"2007-2008"
87,"18.01.2008","19:54","Al Wehda","Al-Ettifaq",1,2,"2007-2008"
88,"18.01.2008","19:56","Al-Hilal","Al Taee",2,0,"2007-2008"
89,"18.01.2008","20:03","Al-Ittihad FC","Al Ahli SC",1,0,"2007-2008"
90,"24.01.2008","15:45","Al Watani","Al Wehda",0,0,"2007-2008"
91,"24.01.2008","19:52","Al Taee","Al-Ittihad FC",1,2,"2007-2008"
92,"24.01.2008","20:00","Al-Shabab","Al Qadisiya",2,1,"2007-2008"
93,"24.01.2008","20:00","Al-Nassr","Al Ahli SC",2,1,"2007-2008"
94,"24.01.2008","20:00","Al-Ettifaq","Al-Hazem",2,3,"2007-2008"
95,"25.01.2008","15:50","Najran","Al-Hilal",0,2,"2007-2008"
96,"18.02.2008","20:15","Al-Ettifaq","Najran",2,1,"2007-2008"
97,"18.02.2008","20:15","Al Ahli SC","Al-Hilal",1,2,"2007-2008"
98,"18.02.2008","20:17","Al Wehda","Al Watani",2,1,"2007-2008"
99,"18.02.2008","20:17","Al Qadisiya","Al-Ittihad FC",1,3,"2007-2008"
100,"22.02.2008","20:14","Al Wehda","Al-Nassr",1,1,"2007-2008"
101,"22.02.2008","20:17","Al-Hazem","Al-Shabab",0,0,"2007-2008"
102,"22.02.2008","20:17","Al Ahli SC","Al Taee",3,1,"2007-2008"
103,"22.02.2008","20:18","Al-Hilal","Al Qadisiya",0,0,"2007-2008"
104,"22.02.2008","20:18","Al-Ettifaq","Al-Ittihad FC",1,2,"2007-2008"
105,"22.02.2008","20:21","Al Watani","Najran",1,1,"2007-2008"
106,"05.03.2008","20:25","Al-Ittihad FC","Al Wehda",1,1,"2007-2008"
107,"13.03.2008","20:20","Najran","Al-Nassr",5,4,"2007-2008"
108,"13.03.2008","20:20","Al-Shabab","Al-Ettifaq",2,1,"2007-2008"
109,"13.03.2008","20:20","Al-Hazem","Al-Hilal",0,1,"2007-2008"
110,"13.03.2008","20:20","Al Taee","Al Wehda",1,1,"2007-2008"
111,"13.03.2008","20:20","Al Qadisiya","Al Watani",1,1,"2007-2008"
112,"30.03.2008","20:25","Najran","Al Taee",2,2,"2007-2008"
113,"30.03.2008","20:25","Al-Nassr","Al Qadisiya",0,1,"2007-2008"
114,"30.03.2008","20:25","Al-Ittihad FC","Al-Shabab",1,1,"2007-2008"
115,"30.03.2008","20:25","Al-Ettifaq","Al-Hilal",1,1,"2007-2008"
116,"30.03.2008","20:25","Al Wehda","Al Ahli SC",1,0,"2007-2008"
117,"30.03.2008","20:25","Al Watani","Al-Hazem",2,1,"2007-2008"
118,"04.04.2008","20:25","Najran","Al Ahli SC",2,0,"2007-2008"
119,"04.04.2008","20:25","Al-Shabab","Al-Hilal",1,1,"2007-2008"
120,"04.04.2008","20:25","Al-Nassr","Al-Hazem",2,1,"2007-2008"
121,"04.04.2008","20:25","Al-Ettifaq","Al Watani",1,1,"2007-2008"
122,"04.04.2008","20:25","Al Taee","Al Qadisiya",0,0,"2007-2008"
123,"09.04.2008","20:25","Al-Hilal","Al-Shabab",0,0,"2007-2008"
124,"09.04.2008","20:25","Al-Hazem","Al-Nassr",1,1,"2007-2008"
125,"09.04.2008","20:25","Al Watani","Al-Ettifaq",0,1,"2007-2008"
126,"09.04.2008","20:25","Al Qadisiya","Al Taee",1,4,"2007-2008"
127,"13.04.2008","20:25","Najran","Al Wehda",3,1,"2007-2008"
128,"13.04.2008","20:25","Al-Shabab","Al Watani",6,0,"2007-2008"
129,"13.04.2008","20:25","Al-Nassr","Al-Ettifaq",0,3,"2007-2008"
130,"13.04.2008","20:25","Al-Ittihad FC","Al-Hilal",0,1,"2007-2008"
131,"13.04.2008","20:25","Al Taee","Al-Hazem",1,3,"2007-2008"
132,"13.04.2008","20:25","Al Qadisiya","Al Ahli SC",1,1,"2007-2008"
NA,"","","","",NA,NA,"2007-2008"
NA,"","","","",NA,NA,"2007-2008"
NA,"","","","",NA,NA,"2007-2008"
1,"13.09.2008","22:15","Al-Shabab","Najran",2,1,"2008-2009"
2,"13.09.2008","22:15","Al-Ittihad FC","Al-Raed",5,1,"2008-2009"
3,"13.09.2008","22:15","Al-Ettifaq","Al Watani",3,0,"2008-2009"
4,"14.09.2008","22:15","Al-Nassr","Al Ahli SC",2,1,"2008-2009"
5,"14.09.2008","22:15","Al Wehda","Al-Hazem",2,1,"2008-2009"
6,"14.09.2008","22:15","Abha","Al-Hilal",0,3,"2008-2009"
7,"18.09.2008","22:15","Najran","Abha",1,1,"2008-2009"
8,"18.09.2008","22:15","Al-Hilal","Al-Raed",2,0,"2008-2009"
9,"18.09.2008","22:15","Al-Hazem","Al-Ettifaq",1,1,"2008-2009"
10,"18.09.2008","22:15","Al Wehda","Al-Nassr",1,2,"2008-2009"
11,"18.09.2008","22:15","Al Watani","Al-Ittihad FC",1,2,"2008-2009"
12,"18.09.2008","22:15","Al Ahli SC","Al-Shabab",2,1,"2008-2009"
13,"04.10.2008","20:00","Najran","Al-Hilal",2,1,"2008-2009"
14,"04.10.2008","20:00","Al-Shabab","Al Wehda",4,2,"2008-2009"
15,"04.10.2008","20:00","Al-Raed","Al Watani",3,2,"2008-2009"
16,"04.10.2008","20:00","Al-Ittihad FC","Al-Hazem",3,0,"2008-2009"
17,"04.10.2008","20:00","Al-Ettifaq","Al-Nassr",1,1,"2008-2009"
18,"04.10.2008","20:00","Abha","Al Ahli SC",0,0,"2008-2009"
19,"08.10.2008","20:00","Al-Shabab","Al-Ettifaq",1,0,"2008-2009"
20,"08.10.2008","20:00","Al-Nassr","Al-Ittihad FC",2,2,"2008-2009"
21,"08.10.2008","20:00","Al-Hazem","Al-Raed",1,0,"2008-2009"
22,"08.10.2008","20:00","Al Watani","Al-Hilal",1,3,"2008-2009"
23,"08.10.2008","20:00","Al Ahli SC","Najran",2,0,"2008-2009"
24,"08.10.2008","20:00","Abha","Al Wehda",2,2,"2008-2009"
25,"12.10.2008","19:55","Al-Raed","Al-Nassr",0,1,"2008-2009"
26,"12.10.2008","19:55","Al-Ittihad FC","Al-Shabab",2,1,"2008-2009"
27,"12.10.2008","19:55","Al-Hilal","Al Ahli SC",0,0,"2008-2009"
28,"12.10.2008","19:55","Al Wehda","Najran",2,1,"2008-2009"
29,"12.10.2008","19:55","Al Watani","Al-Hazem",3,3,"2008-2009"
30,"14.10.2008","19:55","Al-Ettifaq","Abha",3,1,"2008-2009"
31,"17.10.2008","19:50","Najran","Al-Hazem",2,1,"2008-2009"
32,"17.10.2008","19:50","Al Wehda","Al-Raed",3,1,"2008-2009"
33,"17.10.2008","19:50","Al Ahli SC","Al-Ittihad FC",1,2,"2008-2009"
34,"18.10.2008","19:55","Al-Hilal","Al-Nassr",2,1,"2008-2009"
35,"22.10.2008","19:45","Najran","Al-Ettifaq",0,2,"2008-2009"
36,"22.10.2008","19:45","Al-Shabab","Al-Raed",1,4,"2008-2009"
37,"22.10.2008","19:45","Al-Nassr","Al Watani",1,0,"2008-2009"
38,"22.10.2008","19:45","Al-Hazem","Al-Hilal",1,2,"2008-2009"
39,"22.10.2008","19:45","Al Ahli SC","Al Wehda",0,0,"2008-2009"
40,"22.10.2008","19:45","Abha","Al-Ittihad FC",1,2,"2008-2009"
41,"29.10.2008","19:45","Al-Raed","Abha",3,1,"2008-2009"
42,"29.10.2008","19:45","Al-Ittihad FC","Najran",3,2,"2008-2009"
43,"29.10.2008","19:45","Al Watani","Al-Shabab",0,2,"2008-2009"
44,"30.10.2008","19:45","Al-Nassr","Al-Hazem",3,1,"2008-2009"
45,"03.11.2008","19:45","Abha","Al Watani",2,2,"2008-2009"
46,"04.11.2008","19:45","Najran","Al-Nassr",1,0,"2008-2009"
47,"04.11.2008","19:45","Al-Shabab","Al-Hazem",2,0,"2008-2009"
48,"04.11.2008","19:45","Al-Hilal","Al Wehda",0,0,"2008-2009"
49,"04.11.2008","19:45","Al Ahli SC","Al-Ettifaq",1,1,"2008-2009"
50,"20.11.2008","19:40","Al Watani","Najran",3,1,"2008-2009"
51,"21.11.2008","19:40","Al-Ittihad FC","Al Wehda",2,1,"2008-2009"
52,"21.11.2008","19:40","Al-Hazem","Abha",2,1,"2008-2009"
53,"22.11.2008","19:40","Al-Nassr","Al-Shabab",0,0,"2008-2009"
54,"22.11.2008","19:40","Al-Ettifaq","Al-Hilal",0,2,"2008-2009"
55,"24.11.2008","19:45","Al Ahli SC","Al Watani",2,0,"2008-2009"
56,"26.11.2008","19:40","Al-Hilal","Al-Shabab",2,0,"2008-2009"
57,"26.11.2008","19:40","Al-Ettifaq","Al-Ittihad FC",1,1,"2008-2009"
58,"30.11.2008","19:40","Al-Raed","Al-Shabab",0,4,"2008-2009"
59,"30.11.2008","19:40","Al-Ittihad FC","Abha",3,0,"2008-2009"
60,"30.11.2008","19:40","Al-Hilal","Al-Hazem",3,0,"2008-2009"
61,"30.11.2008","19:40","Al-Ettifaq","Najran",1,1,"2008-2009"
62,"04.12.2008","19:30","Al Watani","Al Wehda",0,2,"2008-2009"
63,"04.12.2008","19:40","Al-Shabab","Abha",5,0,"2008-2009"
64,"04.12.2008","19:40","Al-Raed","Al-Ettifaq",1,2,"2008-2009"
65,"04.12.2008","19:40","Al-Ittihad FC","Al-Hilal",0,0,"2008-2009"
66,"11.12.2008","15:05","Al-Hilal","Abha",4,1,"2008-2009"
67,"11.12.2008","15:15","Al-Raed","Al-Ittihad FC",0,2,"2008-2009"
68,"11.12.2008","15:20","Al-Hazem","Al Wehda",3,1,"2008-2009"
69,"11.12.2008","15:40","Al Watani","Al-Ettifaq",0,1,"2008-2009"
70,"11.12.2008","19:35","Najran","Al-Shabab",0,2,"2008-2009"
71,"11.12.2008","19:35","Al Ahli SC","Al-Nassr",2,0,"2008-2009"
72,"15.12.2008","19:40","Al-Shabab","Al Ahli SC",3,2,"2008-2009"
73,"15.12.2008","19:40","Al-Raed","Al-Hilal",0,2,"2008-2009"
74,"15.12.2008","19:40","Al-Ittihad FC","Al Watani",7,2,"2008-2009"
75,"15.12.2008","19:40","Abha","Najran",1,0,"2008-2009"
76,"19.12.2008","15:15","Al-Nassr","Al-Ettifaq",1,0,"2008-2009"
77,"19.12.2008","15:45","Al Watani","Al-Raed",3,1,"2008-2009"
78,"19.12.2008","19:40","Al Wehda","Al-Shabab",1,1,"2008-2009"
79,"19.12.2008","19:40","Al Ahli SC","Abha",2,1,"2008-2009"
80,"20.12.2008","15:15","Al-Hazem","Al-Ittihad FC",3,3,"2008-2009"
81,"20.12.2008","19:42","Al-Hilal","Najran",7,0,"2008-2009"
82,"19.01.2009","20:00","Najran","Al Ahli SC",1,4,"2008-2009"
83,"19.01.2009","20:00","Al-Raed","Al-Hazem",1,0,"2008-2009"
84,"19.01.2009","20:00","Al-Ittihad FC","Al-Nassr",1,0,"2008-2009"
85,"19.01.2009","20:00","Al-Hilal","Al Watani",0,0,"2008-2009"
86,"19.01.2009","20:00","Al-Ettifaq","Al-Shabab",2,1,"2008-2009"
87,"19.01.2009","20:00","Al Wehda","Abha",4,1,"2008-2009"
88,"23.01.2009","15:40","Al-Raed","Najran",0,1,"2008-2009"
89,"23.01.2009","15:40","Al-Hazem","Al-Shabab",1,1,"2008-2009"
90,"23.01.2009","20:00","Al-Nassr","Al-Hilal",0,2,"2008-2009"
91,"24.01.2009","20:00","Al-Ittihad FC","Al Ahli SC",1,2,"2008-2009"
92,"24.01.2009","20:00","Al-Ettifaq","Al Wehda",4,0,"2008-2009"
93,"28.01.2009","20:00","Najran","Al Wehda",2,2,"2008-2009"
94,"28.01.2009","20:00","Abha","Al-Ettifaq",1,0,"2008-2009"
95,"28.01.2009","20:05","Al-Shabab","Al-Ittihad FC",0,4,"2008-2009"
96,"28.01.2009","20:05","Al-Nassr","Al-Raed",1,0,"2008-2009"
