"matchNo","Date","Time","Team1","Team2","Score1","Score2","Season"
50,"04.01.2001","20:00","Al-Nassr","Al-Hilal",1,2,"2000-2001"
51,"04.01.2001","20:00","Al Wehda","Al-Ettifaq",3,2,"2000-2001"
52,"04.01.2001","20:00","Al Riyadh","Al Najma",1,0,"2000-2001"
53,"04.01.2001","20:00","Al Qadisiya","Al-Shabab",4,2,"2000-2001"
54,"08.01.2001","20:00","Al-Hilal","Al-Ettifaq",1,0,"2000-2001"
55,"11.01.2001","20:00","Al-Shabab","Sdoos",2,1,"2000-2001"
56,"11.01.2001","20:00","Al-Nassr","Al Najma",2,0,"2000-2001"
57,"11.01.2001","20:00","Al Wehda","Al-Hilal",0,1,"2000-2001"
58,"12.01.2001","20:00","Al Riyadh","Al-Ettifaq",3,1,"2000-2001"
59,"12.01.2001","20:00","Al Ansar","Al Ahli SC",4,0,"2000-2001"
60,"15.01.2001","20:00","Al-Shabab","Al-Nassr",0,0,"2000-2001"
61,"15.01.2001","20:00","Al Ahli SC","Al-Hilal",1,0,"2000-2001"
62,"18.01.2001","20:00","Sdoos","Al Qadisiya",1,2,"2000-2001"
63,"19.01.2001","20:00","Al-Shabab","Al Wehda",3,1,"2000-2001"
64,"19.01.2001","20:00","Al-Hilal","Al Riyadh",1,1,"2000-2001"
65,"19.01.2001","20:00","Al Ansar","Al-Ittihad FC",1,1,"2000-2001"
66,"19.01.2001","20:00","Al Ahli SC","Al Najma",2,0,"2000-2001"
67,"24.01.2001","20:00","Sdoos","Al-Ittihad FC",0,2,"2000-2001"
68,"24.01.2001","20:00","Al Najma","Al Ansar",0,0,"2000-2001"
69,"24.01.2001","20:00","Al Ahli SC","Al-Ettifaq",2,1,"2000-2001"
70,"25.01.2001","20:00","Al-Shabab","Al Riyadh",0,0,"2000-2001"
71,"25.01.2001","20:00","Al-Hilal","Al-Nassr",2,2,"2000-2001"
72,"25.01.2001","20:00","Al Wehda","Al Qadisiya",2,2,"2000-2001"
73,"29.01.2001","20:00","Al-Ittihad FC","Al Qadisiya",0,0,"2000-2001"
74,"29.01.2001","20:00","Al Najma","Al-Hilal",1,0,"2000-2001"
75,"31.01.2001","20:00","Sdoos","Al Wehda",0,1,"2000-2001"
76,"31.01.2001","20:00","Al-Nassr","Al-Shabab",2,0,"2000-2001"
77,"31.01.2001","20:00","Al-Ettifaq","Al Ansar",3,0,"2000-2001"
78,"02.02.2001","20:00","Al-Ittihad FC","Al Najma",0,1,"2000-2001"
79,"02.02.2001","20:00","Al-Hilal","Al Ahli SC",1,3,"2000-2001"
80,"02.02.2001","20:00","Al Qadisiya","Al Riyadh",1,1,"2000-2001"
81,"03.02.2001","20:00","Sdoos","Al-Shabab",0,2,"2000-2001"
82,"04.02.2001","20:00","Al-Nassr","Al-Ettifaq",0,0,"2000-2001"
83,"04.02.2001","20:00","Al-Ittihad FC","Al Wehda",4,0,"2000-2001"
84,"06.02.2001","20:00","Sdoos","Al Riyadh",0,3,"2000-2001"
85,"06.02.2001","20:00","Al-Ettifaq","Al-Nassr",0,2,"2000-2001"
86,"06.02.2001","20:00","Al Ansar","Al-Hilal",0,2,"2000-2001"
87,"07.02.2001","20:00","Al-Nassr","Al Qadisiya",3,0,"2000-2001"
88,"07.02.2001","20:00","Al Najma","Al-Ettifaq",0,0,"2000-2001"
89,"07.02.2001","20:00","Al Ahli SC","Al-Shabab",3,2,"2000-2001"
90,"11.02.2001","20:00","Al-Shabab","Al-Ettifaq",1,1,"2000-2001"
91,"11.02.2001","20:00","Al-Hilal","Al-Ittihad FC",1,0,"2000-2001"
92,"12.02.2001","20:00","Al-Nassr","Al Ansar",2,1,"2000-2001"
93,"14.02.2001","20:00","Al-Ittihad FC","Al-Ettifaq",2,1,"2000-2001"
94,"14.02.2001","20:00","Al Riyadh","Al Wehda",3,0,"2000-2001"
95,"14.02.2001","20:00","Al Qadisiya","Al Ahli SC",0,1,"2000-2001"
96,"15.02.2001","20:00","Sdoos","Al-Nassr",1,3,"2000-2001"
97,"16.02.2001","20:00","Al-Hilal","Al Najma",3,0,"2000-2001"
98,"16.02.2001","20:00","Al Ansar","Al-Shabab",3,2,"2000-2001"
99,"18.02.2001","20:00","Al Riyadh","Al-Ittihad FC",0,2,"2000-2001"
100,"18.02.2001","20:00","Al Ahli SC","Sdoos",6,0,"2000-2001"
101,"19.02.2001","20:00","Al-Hilal","Al Wehda",4,0,"2000-2001"
102,"22.02.2001","20:00","Al-Ettifaq","Al-Hilal",0,1,"2000-2001"
103,"22.02.2001","20:00","Al Wehda","Al-Nassr",1,2,"2000-2001"
104,"22.02.2001","20:00","Al Najma","Al-Shabab",1,2,"2000-2001"
105,"22.02.2001","20:00","Al Ahli SC","Al-Ittihad FC",1,1,"2000-2001"
106,"23.02.2001","20:00","Al Qadisiya","Al Ansar",1,1,"2000-2001"
107,"26.02.2001","20:00","Al-Ittihad FC","Al-Hilal",1,2,"2000-2001"
108,"26.02.2001","20:00","Al Wehda","Al Ahli SC",1,5,"2000-2001"
109,"26.02.2001","20:00","Al Riyadh","Al-Nassr",0,1,"2000-2001"
110,"27.02.2001","20:00","Al Najma","Al Qadisiya",0,1,"2000-2001"
111,"27.02.2001","20:00","Al Ansar","Sdoos",1,2,"2000-2001"
112,"02.03.2001","20:00","Al Riyadh","Al-Hilal",1,6,"2000-2001"
113,"02.03.2001","20:00","Al Qadisiya","Al-Ittihad FC",2,3,"2000-2001"
114,"19.03.2001","20:00","Al-Hilal","Sdoos",1,0,"2000-2001"
115,"21.03.2001","20:00","Al-Nassr","Al-Ittihad FC",2,1,"2000-2001"
116,"21.03.2001","20:00","Al Ansar","Al Wehda",1,1,"2000-2001"
